ID,User_Name,First_Name,Last_Name,Email,Organization,Location_City,Location_Country,DateOfBirth,DateOfJoining,TrustRating
U-1,do_while_true,Cyndy,Beeler,do_while_true@gmail.com,Dongying Experimental Middle School,Duartina,Brazil,21-05-1991,14-01-2012,100
U-2,alpha1022,Zhuocheng,Lin,alpha1022@iiitd.ac.in,Sanxin Bilingual School,Gulf Shores,United States,29-11-1998,25-09-2020,100
U-3,XiKanDaoShuQianChongLang,Alesia,Flanders,XiKanDaoShuQianChongLang@iitd.ac.in,Sanxin Bilingual School,Canon City,United States,29-06-1991,23-11-2019,100
U-4,kogorou,Pratik,Pathak,kogorou@iiitd.ac.in,Dongying Experimental Middle School,Berane,Montenegro,25-02-1981,11-05-2012,100
U-5,Sanzenkai,Maricruz,Lena,Sanzenkai@gmail.com,Sanxin Bilingual School,Grove City,United States,28-09-2001,18-03-2015,100
U-6,FermatsLittleBrother,Tahsin,Protik,FermatsLittleBrother@iitd.ac.in,Rajshahi University of Engineering and Technology,Huejutla de Reyes,Mexico,05-08-1981,03-04-2009,100
U-7,Kurorz,Leonore,Cupples,Kurorz@yahoo.com,Sanxin Bilingual School,Lucas Valley-Marinwood,United States,17-12-1996,14-10-2018,100
U-8,ftuknights,Duy Khanh,Dau,ftuknights@iitd.ac.in,FTU,Nitra,Slovakia,09-02-1993,08-10-2008,100
U-9,nikit523,Nikita,Igumnov,nikit523@gmail.com,Higher School of Economics,Galleywood,United Kingdom,02-07-1980,08-08-2012,100
U-10,Ainur_Mukhtarow,Lanora,Miera,Ainur_Mukhtarow@iiitd.ac.in,Dongying Experimental Middle School,Wandsworth,United Kingdom,12-05-1993,10-06-2013,100
U-11,ahijing,Lanora,Miera,ahijing@hotmail.com,Rajshahi University of Engineering and Technology,Capenda Camulemba,Angola,09-08-1996,21-05-2011,100
U-12,hanna_d,Hanna,Derets,hanna_d@yahoo.com,FTU,Khowrzuq,Iran,05-04-1984,24-11-2015,100
U-13,Mike4235,Sharyl,Urbano,Mike4235@iiitd.ac.in,HUS High School for Gifted Student,Haifa,Israel,14-03-1993,07-07-2006,100
U-14,katana_handler,Mayank,Pugalia,katana_handler@iitd.ac.in,Anti-FOSS,Upper Nazareth,United States,25-01-1985,29-08-2000,100
U-15,Vito_39,Hrishabh,Kamal,Vito_39@hotmail.com,ABV-IIITM Gwalior,Madaba,Jordan,13-04-2004,07-12-2019,100
U-16,Verly,Faustina,Beck,Verly@iiitd.ac.in,Wuhan University of Science and Technology,Crissier,Switzerland,17-01-1999,25-10-2018,100
U-17,_dg_,Jackie,Swindell,_dg_@iitd.ac.in,FTU,Pokrov,Ukraine,31-12-2001,05-06-2018,100
U-18,martins,Martín,s,martins@yahoo.com,Pontificia Universidad Católica de Chile,Adet,Ethiopia,06-09-1993,05-11-2018,100
U-19,FrigidPigeon,Binhan,Yang,FrigidPigeon@gmail.com,Zhoushan Senior-High,Fengcheng,China,12-02-1989,06-09-2004,100
U-20,kai825,Stacey,Winebarger,kai825@hotmail.com,Rajshahi University of Engineering and Technology,San Rafael,Argentina,20-09-1988,04-07-2003,100
U-21,keemzen,Depeche,Mode,keemzen@iiitd.ac.in,Sanxin Bilingual School,Capenda Camulemba,Angola,25-03-1983,28-07-1999,100
U-22,Minuses,Shavon,Jonason,Minuses@iitd.ac.in,Wuhan University of Science and Technology,Ushtobe,Kazakhstan,06-06-2002,20-11-2015,100
